durofel,color,max_brix,Variety
65,3.106,16.5,1
65.14,2.18,16.1,1
65.22,3.472,25,1
67.11,2.879,17.1,1
65.08,2.79,20,1
65,2.54,20,1
66.05,2.562,25.1,1
68.45,21.107,19,1
65.08,3.1936,25,1
66.05,2.856,25,1
67.19,2.6,25.4,1
66.86,2.39,25.4,1
73,2.528,20.6,1
66.76,2.588,22.6,1
68.13,2.55,17.9,1
69.23,3.4,21,1
67.42,2.66,15.7,1
68.27,2.348,22,1
69.96,2.7,16.8,1
65.14,3.01,20.2,1
66.3,2.184,23,1
69.61,3.116,20,1
67.63,2.72,17.6,1
65,2.52,17.2,1
66.71,2.59,17.5,1
65.6,3.18,24.2,1
67.46,2.758,19,1
71.33,3.15,22.5,1
66.06,2.733,19.04,1
66.16,2.812,17.7,1
73.95,2.715,18.5,1
77.86,3.106,26,1
72.33,3.262,19.9,1
76.11,2.922,23,1
74.89,2.746,19.1,1
75.14,2.79,27,1
78.42,2.67,27,1
75.38,3.332,28,1
77.94,3.03,27,1
73.95,2.812,19.9,1
73.95,2.767,16.3,1
73.94,3.318,27,1
69.53,3.19,27.7,1
74.4,3.208,22,1
72.26,2.714,17.3,1
77.31,3.48,29,1
72.86,3.29,29,1
71.43,3.536,29,1
67.21,2.994,29,1
75.76,3.088,29,1
71.61,3.19,31,4
73.56,2.776,18.3,1
74.82,3.416,27,1
73.63,2.672,17.8,1
71.89,3.284,22,1
70.62,3.37,23,1
67.88,2.922,23,1
73.79,2.709,17,1
76.74,3.358,24,1
78.42,3.188,24,1
74.75,2.896,25.2,1
67.64,3.328,25,1
66.52,2.84,18.2,1
73.1,2.651,22.7,1
74.78,2.834,18.2,3
69.04,3.317,18,1
75.97,0.894,20.5,3
73.53,2.855,22.1,1
66.75,2.794,17,1
72.47,2.78,18,1
74.3,3.142,29,1
70.62,2.863,19.9,1
73.81,2.761,18.8,3
69.7,2.78,16.3,1
67.22,2.863,20.3,1
72.54,3.119,17.7,3
74.57,2.858,19.3,1
76.68,3.316,27,3
74.78,2.925,22.2,3
70.9,2.984,21.5,1
73,2.758,17.3,3
72.57,2.72,20.9,3
75.94,3.308,26,3
74.5,2.666,16.8,4
69.22,3.312,27,1
70.86,3.092,24.6,4
78.99,3.456,19.6,3
76.64,3.45,22,3
78.5,2.9,19.7,3
72.24,3.101,17.5,1
71.66,2.889,19.8,3
75.77,2.863,20.6,1
77.59,3.028,25,3
73.18,2.851,19.4,1
71.04,2.974,19.3,3
72.4,2.982,24.9,3
76.96,2.694,28,1
71.26,2.983,22,1
74.36,2.847,26,3
76.39,3.224,26,3
76.43,2.302,19.2,3
70.17,3.39,25,1
71.17,3.416,25,3
73.63,3.578,19.5,3
67.22,2.924,19,3
72.71,3.019,22,1
71.67,2.961,23.4,1
71.29,2.902,25.5,1
73.35,3.414,23,3
73.07,2.796,17.2,3
70.93,2.934,23,1
74.61,2.973,26.6,1
75.27,2.785,18.9,3
72.3,3.362,24,5
78.25,2.928,23,3
75.77,3.07,19.6,1
71.12,2.462,18.8,3
76.92,2.97,21.2,3
74.09,2.9,17.3,3
75.41,2.996,18.4,3
70.23,2.809,18.1,5
71.6,2.723,19.3,4
73.04,2.946,21,1
73.91,2.98,18.6,3
73.81,3.478,26,1
67.85,3.064,25,7
72.97,2.859,19.8,3
75.21,2.757,18.4,6
76.6,2.716,20.4,3
72.23,2.796,18.4,3
70.79,2.979,24.5,3
72.02,3.05,18.3,3
75.21,2.786,17.8,3
15.403,1.584,24,3
70.02,2.908,17.2,5
73.59,2.736,24.6,3
75.97,2.898,17.7,3
74.85,2.452,19.2,6
77.69,2.946,21.2,3
73.53,2.881,18.2,3
75.35,2.591,17.4,6
72.82,2.659,20.2,8
69.29,2.763,20.3,9
72.16,2.957,25,3
70.76,2.956,26.1,3
76.74,2.813,21.4,3
69.71,2.959,26.3,3
74.64,2.919,19.3,3
76.33,2.832,19.6,3
70.59,2.624,26,3
76.5,2.655,23.2,3
77.1,2.359,18.8,3
4.161,2.063,26,3
77.23,2.891,18.9,3
72.55,2.954,19.2,3
71.15,2.968,19.2,3
79.01,2.496,21.3,3
