durofel_inf_65,durofel_65_70,durofel_sup_75,durofel_70_75,color_rojo,color_rojo_caoba,color_caoba,color_negro,color_caoba_oscuro,brix_rojo,brix_caoba_oscuro,brix_caoba,brix_negro,Temperatura_Ambiente,Temperatura_Pulpa,Variety
0,15,50,35,3,38,59,0,0,0,0,23.6,0,25,15,13
0,6,59,35,0,12,68,2,18,0,25.8,23.5,0,28.2,24.6,13
3,6,70,21,0,9,82,0,9,0,24.6,19.5,0,27.8,21.8,13
0,14.3,71.4,14.3,3,25,72,0,0,0,0,21.8,0,26.5,18,9
0,4,64,32,0,0,12.4,9.2,78.4,0,22.5,19.5,0,24.7,19,9
7.1,10.7,71.5,10.7,12,56,32,0,0,0,0,21.1,0,24,20.6,5
0,0,89,11,0,26.3,68.2,0,5.5,0,0,22.2,0,25.2,16.4,5
3,6,75,16,16,31,47,0,6,0,0,23.4,0,28.1,19.8,5
0,3,89,16,0,26,74,0,0,0,0,21.7,0,27.5,23.5,5
3.6,7.1,64.3,25,0,27.2,68.6,0,4.2,0,0,21.7,0,30,29.5,1
7.1,7.1,75.1,10.7,9,38,53,0,0,0,0,19.5,0,26.5,19,14
4,7,79,11,0,10.4,84,0,5.6,0,0,21.1,0,25.5,18.6,14
0,3.6,85.7,10.7,0,29.2,60.8,0,10,0,0,22.8,0,27.3,21,5
0,3,91,6,0,0,15,10,75,0,21.9,20.5,0,31,21,15
6,6,68,21,0,0,3,10,87,0,21.2,0,23,30.6,21,15
6,6,76,12,0,0,6,15,79,0,21.4,0,23,31.3,21.6,15
7.1,10.7,50.1,32.1,3,18,64,9,6,0,0,21.9,0,24,16,3
7.1,17.9,42.9,32.1,0,14.1,60.4,0,25.5,0,21.4,18,0,26.6,21,3
2.9,8.8,70.4,17.8,0,11,59,0,30,0,20.6,18,0,23.6,14,3
0,7.1,78.6,14.3,0,0,6.4,16.2,77.4,0,18.4,0,20.3,24,18.6,3
0,3,91,6,0,0,6,12,82,0,25.1,0,26.7,20.5,16.8,13
0,3,85,12,3,38,49,4,6,0,0,21.2,0,27.5,19.5,5
0,3,81,16,0,18,79,0,3,0,0,21.8,0,27.4,17.5,5
0,3,85,12,0,0,68,0,32,0,24.6,22.1,0,27.8,20,5
0,3,82,15,0,3,29,6,62,0,23.9,22.8,0,28.1,20,5
0,4,79,18,0,6.2,77.8,0,16,0,22.1,18.9,0,26,21,5
0,7,86,7,0,13.4,76.6,0,10,0,0,21.2,0,26,21.3,5
0,0,92.4,7.6,0,11.6,80.2,0,8.2,0,0,19.7,0,29.2,23,5
3.3,20,40,36.7,7.8,28.4,62.2,0,1.6,0,0,20.2,0,22.2,16,1
12.9,19.3,42,25.8,3.4,20.8,73.5,0,2.3,0,0,23,0,27.5,20,1
2,19,50,29,4,9,61,2,24,0,0,23.1,0,28,20.8,3
1,9,78,12,4,7,74,0,15,0,21.3,18.9,0,25.2,16.5,3
0,7.1,78.7,14.2,0,11.1,71.2,0,17.7,0,0,19.7,0,18.6,18.2,3
0,6.8,62.2,31,0,12.3,68.3,0,19.4,0,20.2,18.4,0,20.8,18.4,3
4.7,8.3,56.1,30.9,0,12.2,70.4,0,17.4,0,20.8,23.7,0,20.1,15.3,3
7.1,10.7,71.5,10.7,0,6,74,0,20,0,20.6,18.4,0,19.5,13,3
16.7,23.3,23.3,36.7,0,0,41,0,59,0,22.4,17.6,0,24,16.4,3
10.7,17.8,39.4,32.1,0,0,70,0,30,0,21.6,17.2,0,22.5,18.4,3
0,7,86,7,0,16.9,63.7,0,19.4,0,23.9,18.9,0,24.8,19,13
0,3,82,15,0,41,56,0,3,0,0,22.2,0,25.5,19.3,5
0,3,85,12,0,9,62,0,29,0,22,20.1,0,29.6,19.4,5
3,3,79,15,0,3,82,0,15,0,22.7,19.3,0,29.2,18,5
0,3,88,9,0,0,35,0,65,0,24.3,23.9,0,29.8,20,15
3.5,7.1,82.3,7.1,0,0,0,74.7,25.3,0,20.6,0,22,22.8,20.5,3
0,0,96.5,3.5,0,5.9,74.1,0,20,0,23.2,19.8,0,27,22,3
0,15,65,19,0,4.2,81.4,0,14.4,0,23.2,21.7,0,26.5,19,13
0,3,88,9,0,33,52,0,15,0,26,23.5,0,29.3,21.8,13
0,3,85,12,0,0,74,3,23,0,25.4,20.1,0,27.1,21.4,13
0,6,73,21,0,44,56,0,0,0,0,19.7,0,27.5,19.2,5
0,3.5,53.7,42.8,0,10,70.8,0,19.2,0,22.4,18.6,0,17.2,14.9,3
6.7,13.3,56.7,23.3,0,24.2,66.9,0,8.9,0,0,21.5,0,19.8,16.2,3
7.4,14.8,55.6,22.2,0,17.2,66.6,0,16.2,0,0,19.2,0,22,12.3,3
3.5,21.4,46.6,28.5,0,9.5,80.9,0,9.6,0,21.7,18.3,0,24,18.7,3
3.6,7.1,82.2,7.1,10.2,52.3,37.5,0,0,0,0,22.2,0,19,15.1,14
0,17.8,43,39.2,0,2.6,88,0,9.4,0,23.4,20,0,24.8,15.2,14
3.5,17.8,53.7,25,0,15.1,77.2,0,7.7,0,0,23.8,0,27.2,19,11
3.5,14.2,64.5,17.8,0,18.1,68.2,0,13.7,0,0,21.3,0,17,12,5
0,21.4,46.5,32.1,0,5.9,83.8,0,10.3,0,20.5,18.5,0,25,16,5
0,4,68,29,0,6.8,82.9,0,10.3,0,21.3,19.3,0,24,22.2,5
7.1,7.1,68,17.8,2.4,49.6,48,0,0,0,0,22.2,0,24.6,19,1
0,3.4,55.1,41.5,2.6,21.9,75.5,0,0,0,0,22.2,0,29.5,22,1
0,12,41,47,15,29,56,0,0,0,0,23.1,0,21.2,19,1
1.5,30.5,12,56,9,29,56,0,6,0,0,22.5,0,28,21,1
14.3,25,28.6,32.1,4.2,19.4,70.4,0,6,0,0,22.9,0,30,23,1
7.1,14.3,50,28.6,6,16.1,71.1,0,6.8,0,0,20.8,0,18,15,3
0,0,92.9,7.1,10.2,16.3,68.5,0,5,0,0,21.1,0,19.2,16,3
10.7,14.3,53.6,21.4,0,4.1,74.6,0,21.3,0,22.2,19.6,0,19.6,18.2,3
0,3.2,74.3,22.5,2.8,19.1,62.9,0,15.2,0,0,21.5,0,17.5,9.4,3
0,6.8,58.8,34.4,1,20.7,74.6,0,3.7,0,0,21.1,0,20.6,17.3,3
0,10.7,75.1,14.2,0,15.3,64.7,0,20,0,20.9,17.9,0,24,20,3
